months,P3,P10,P25,P50,P75,P90,P97,,,,,,,,
0 ,45.6 ,46.8 ,47.9 ,49.1 ,50.4 ,51.5 ,52.7 ,,,,,,,,
1 ,50.0 ,51.2 ,52.4 ,53.7 ,55.0 ,56.2 ,57.4 ,,,,,,,,
2 ,53.2 ,54.5 ,55.7 ,57.1 ,58.4 ,59.7 ,60.9 ,,,,,,,,
3 ,55.8 ,57.1 ,58.4 ,59.8 ,61.2 ,62.5 ,63.8 ,,,,,,,,
4 ,58.0 ,59.3 ,60.6 ,62.1 ,63.5 ,64.9 ,66.2 ,,,,,,,,
5 ,59.9 ,61.2 ,62.5 ,64.0 ,65.5 ,66.9 ,68.2 ,,,,,,,,
6 ,61.5 ,62.8 ,64.2 ,65.7 ,67.3 ,68.6 ,70.0 ,,,,,,,,
7 ,62.9 ,64.3 ,65.7 ,67.3 ,68.8 ,70.3 ,71.6 ,,,,,,,,
8 ,64.3 ,65.7 ,67.2 ,68.7 ,70.3 ,71.8 ,73.2 ,,,,,,,,
9 ,65.6 ,67.1 ,68.5 ,70.1 ,71.8 ,73.2 ,74.7 ,,,,,,,,
10 ,66.8 ,68.3 ,69.8 ,71.5 ,73.1 ,74.6 ,76.1 ,,,,,,,,
11 ,68.0 ,69.5 ,71.1 ,72.8 ,74.5 ,76.0 ,77.5 ,,,,,,,,
12 ,69.2 ,70.7 ,72.3 ,74.0 ,75.8 ,77.3 ,78.9 ,,,,,,,,
13 ,70.3 ,71.9 ,73.4 ,75.2 ,77.0 ,78.6 ,80.2 ,,,,,,,,
14 ,71.0 ,72.9 ,74.6 ,76.4 ,78.2 ,79.8 ,81.4 ,,,,,,,,
15 ,72.4 ,74.0 ,75.5 ,77.5 ,79.4 ,81.0 ,82.7 ,,,,,,,,
16 ,73.3 ,75.0 ,76.7 ,78.6 ,80.5 ,82.2 ,83.9 ,,,,,,,,
17 ,74.3 ,76.0 ,77.7 ,79.7 ,81.6 ,83.3 ,85.0 ,,,,,,,,
18 ,75.2 ,77.0 ,78.7 ,80.7 ,82.7 ,84.4 ,86.2 ,,,,,,,,
19 ,76.2 ,77.9 ,79.7 ,81.7 ,83.7 ,85.5 ,87.3 ,,,,,,,,
20 ,77.0 ,78.8 ,80.7 ,82.7 ,84.7 ,86.6 ,88.4 ,,,,,,,,
21 ,77.9 ,79.7 ,81.6 ,83.7 ,85.7 ,87.6 ,89.4 ,,,,,,,,
22 ,78.7 ,80.6 ,82.5 ,84.6 ,86.7 ,88.6 ,90.5 ,,,,,,,,
23 ,79.6 ,81.5 ,83.4 ,85.5 ,87.7 ,89.6 ,91.5 ,,,,,,,,
24 ,80.3 ,82.3 ,84.2 ,86.4 ,88.6 ,90.5 ,92.5 ,,,,,,,,
25 ,80.4 ,82.4 ,84.4 ,86.6 ,88.8 ,90.8 ,92.8 ,,,,,,,,
26 ,81.2 ,83.2 ,85.2 ,87.4 ,89.7 ,91.7 ,93.7 ,,,,,,,,
27 ,81.9 ,84.0 ,86.0 ,88.3 ,90.6 ,92.6 ,94.6 ,,,,,,,,
28 ,82.6 ,84.7 ,86.8 ,89.1 ,91.4 ,93.5 ,95.6 ,,,,,,,,
29 ,83.4 ,85.4 ,87.6 ,89.9 ,92.2 ,94.4 ,96.4 ,,,,,,,,
30 ,84.0 ,86.2 ,88.0 ,90.7 ,93.1 ,95.2 ,97.3 ,,,,,,,,
31 ,84.7 ,86.9 ,89.0 ,91.4 ,93.9 ,96.0 ,98.2 ,,,,,,,,
32 ,85.4 ,87.5 ,89.7 ,92.2 ,94.6 ,96.8 ,99.0 ,,,,,,,,
33 ,86.0 ,88.2 ,90.4 ,92.9 ,95.4 ,97.6 ,99.8 ,,,,,,,,
34 ,86.7 ,88.9 ,91.1 ,93.6 ,96.2 ,98.4 ,100.6 ,,,,,,,,
35 ,87.0 ,89.5 ,91.8 ,94.4 ,96.9 ,99.2 ,101.4 ,,,,,,,,
36 ,87.9 ,90.2 ,92.5 ,95.1 ,97.6 ,99.9 ,102.2 ,,,,,,,,
37 ,88.5 ,90.8 ,93.1 ,95.7 ,98.3 ,100.7 ,103.0 ,,,,,,,,
38 ,89.1 ,91.4 ,93.8 ,96.4 ,99.0 ,101.4 ,103.7 ,,,,,,,,
39 ,89.7 ,92.0 ,94.4 ,97.1 ,99.7 ,102.1 ,104.5 ,,,,,,,,
40 ,90.0 ,92.7 ,95.1 ,97.7 ,100.4 ,102.8 ,105.2 ,,,,,,,,
41 ,90.8 ,93.3 ,95.7 ,98.4 ,101.1 ,103.6 ,106.0 ,,,,,,,,
42 ,91.4 ,93.8 ,96.3 ,99.0 ,101.8 ,104.2 ,106.7 ,,,,,,,,
43 ,92.0 ,94.4 ,96.9 ,99.7 ,102.4 ,104.9 ,107.4 ,,,,,,,,
44 ,92.5 ,95.0 ,97.5 ,100.3 ,103.1 ,105.6 ,108.1 ,,,,,,,,
45 ,93.0 ,95.6 ,98.1 ,100.9 ,103.7 ,106.3 ,108.8 ,,,,,,,,
46 ,93.6 ,96.1 ,98.7 ,101.5 ,104.4 ,106.9 ,109.5 ,,,,,,,,
47 ,94.1 ,96.7 ,99.3 ,102.1 ,105.0 ,107.6 ,110.2 ,,,,,,,,
48 ,94.6 ,97.2 ,99.8 ,102.7 ,105.6 ,108.2 ,110.8 ,,,,,,,,
49 ,95.1 ,97.8 ,100.4 ,103.3 ,106.3 ,108.9 ,111.5 ,,,,,,,,
50 ,95.7 ,98.3 ,100.9 ,103.9 ,106.9 ,109.5 ,112.1 ,,,,,,,,
51 ,96.2 ,98.8 ,101.5 ,104.5 ,107.5 ,110.1 ,112.8 ,,,,,,,,
52 ,96.7 ,99.8 ,102.0 ,105.5 ,108.1 ,111.2 ,113.4 ,,,,,,,,
53 ,97.2 ,99.9 ,102.6 ,105.6 ,108.6 ,111.4 ,114.1 ,,,,,,,,
54 ,97.6 ,100.4 ,103.1 ,106.2 ,109.2 ,112.0 ,114.7 ,,,,,,,,
55 ,98.1 ,100.9 ,103.6 ,106.7 ,109.8 ,112.6 ,115.3 ,,,,,,,,
56 ,98.6 ,101.4 ,104.2 ,107.3 ,110.4 ,113.2 ,116.0 ,,,,,,,,
57 ,99.1 ,101.9 ,104.7 ,107.8 ,111.0 ,113.8 ,116.6 ,,,,,,,,
58 ,99.6 ,102.4 ,105.2 ,108.4 ,111.5 ,114.4 ,117.2 ,,,,,,,,
59 ,100.0 ,102.9 ,105.7 ,108.9 ,112.1 ,114.9 ,117.8 ,,,,,,,,
60 ,100.5 ,103.3 ,106.2 ,109.4 ,112.6 ,115.5 ,118.4 ,,,,,,,,
61 ,100.6 ,103.5 ,106.4 ,109.6 ,112.8 ,115.7 ,118.6 ,,,,,,,,
62 ,101.1 ,104.0 ,106.9 ,110.1 ,113.4 ,116.3 ,119.2 ,,,,,,,,
63 ,101.5 ,104.5 ,107.4 ,110.6 ,113.9 ,116.8 ,119.7 ,,,,,,,,
64 ,102.0 ,104.9 ,107.9 ,111.2 ,114.4 ,117.4 ,120.3 ,,,,,,,,
65 ,102.4 ,105.4 ,108.4 ,111.7 ,115.0 ,117.9 ,120.9 ,,,,,,,,
66 ,102.9 ,105.9 ,108.8 ,112.2 ,115.5 ,118.5 ,121.5 ,,,,,,,,
67 ,103.3 ,106.3 ,109.3 ,112.7 ,116.0 ,119.0 ,122.0 ,,,,,,,,
68 ,103.8 ,106.8 ,109.8 ,113.2 ,116.5 ,119.6 ,122.6 ,,,,,,,,
69 ,104.2 ,107.2 ,110.3 ,113.7 ,117.1 ,120.1 ,123.1 ,,,,,,,,
70 ,104.6 ,107.7 ,110.7 ,114.2 ,117.6 ,120.6 ,123.7 ,,,,,,,,
71 ,105.1 ,108.1 ,111.2 ,114.6 ,118.1 ,121.2 ,124.2 ,,,,,,,,
72 ,105.5 ,108.6 ,111.7 ,115.1 ,118.6 ,121.7 ,124.8 ,,,,,,,,
73 ,105.9 ,109.0 ,112.1 ,115.6 ,119.1 ,122.2 ,125.3 ,,,,,,,,
74 ,106.3 ,109.5 ,112.6 ,116.1 ,119.6 ,122.7 ,125.8 ,,,,,,,,
75 ,106.8 ,109.9 ,113.0 ,116.6 ,120.1 ,123.2 ,126.4 ,,,,,,,,
