,months,P3,P10,P25,P50,P75,P90,P97,,,,,,,,
,0,46.3 ,47.5 ,48.6 ,49.9 ,51.2 ,52.3 ,53.4 ,,,,,,,,
,1,51.1 ,52.2 ,53.4 ,54.7 ,56.0 ,57.2 ,58.4 ,,,,,,,,
,2,54.7 ,55.9 ,57.1 ,58.4 ,59.8 ,61.0 ,62.2 ,,,,,,,,
,3,57.6 ,58.8 ,60.1 ,61.4 ,62.8 ,64.0 ,65.3 ,,,,,,,,
,4,60.0 ,61.2 ,62.5 ,63.9 ,65.3 ,66.5 ,67.8 ,,,,,,,,
,5,61.9 ,63.2 ,64.5 ,65.9 ,67.3 ,68.6 ,69.9 ,,,,,,,,
,6,63.6 ,64.9 ,66.2 ,67.6 ,69.1 ,70.4 ,71.6 ,,,,,,,,
,7,65.1 ,66.4 ,67.7 ,69.2 ,70.6 ,71.9 ,73.2 ,,,,,,,,
,8,66.5 ,67.8 ,69.1 ,70.6 ,72.1 ,73.4 ,74.7 ,,,,,,,,
,9,67.7 ,69.1 ,70.5 ,72.0 ,73.5 ,74.8 ,76.2 ,,,,,,,,
,10,69.0 ,70.4 ,71.7 ,73.3 ,74.8 ,76.2 ,77.6 ,,,,,,,,
,11,70.2 ,71.6 ,73.0 ,74.5 ,76.1 ,77.5 ,78.9 ,,,,,,,,
,12,71.3 ,72.7 ,74.1 ,75.7 ,77.4 ,78.8 ,80.2 ,,,,,,,,
,13,72.4 ,74.0 ,75.3 ,76.9 ,78.6 ,79.8 ,81.5 ,,,,,,,,
,14,73.4 ,74.9 ,76.4 ,78.0 ,79.7 ,81.2 ,82.7 ,,,,,,,,
,15,74.4 ,75.9 ,77.4 ,79.1 ,80.9 ,82.4 ,83.9 ,,,,,,,,
,16,75.4 ,76.9 ,78.5 ,80.2 ,82.0 ,83.5 ,85.1 ,,,,,,,,
,17,76.3 ,77.9 ,79.5 ,81.2 ,83.0 ,84.6 ,86.2 ,,,,,,,,
,18,77.2 ,78.8 ,80.4 ,82.3 ,84.1 ,85.7 ,87.3 ,,,,,,,,
,19,78.1 ,79.7 ,81.4 ,83.2 ,85.1 ,86.8 ,88.4 ,,,,,,,,
,20,78.9 ,80.6 ,82.3 ,84.2 ,86.1 ,87.8 ,89.5 ,,,,,,,,
,21,79.7 ,81.5 ,83.2 ,85.1 ,87.1 ,88.8 ,90.5 ,,,,,,,,
,22,80.5 ,82.3 ,84.1 ,86.0 ,88.0 ,89.8 ,91.6 ,,,,,,,,
,23,81.3 ,83.1 ,84.9 ,86.9 ,89.0 ,90.8 ,92.6 ,,,,,,,,
,24,82.1 ,83.9 ,85.8 ,87.8 ,89.9 ,91.7 ,93.6 ,,,,,,,,
,25,82.1 ,84.0 ,85.9 ,88.0 ,90.1 ,92.0 ,93.8 ,,,,,,,,
,26,82.8 ,84.7 ,86.7 ,88.8 ,90.9 ,92.9 ,94.8 ,,,,,,,,
,27,83.5 ,85.5 ,87.4 ,89.6 ,91.8 ,93.8 ,95.7 ,,,,,,,,
,28,84.2 ,86.2 ,88.2 ,90.4 ,92.6 ,94.6 ,96.6 ,,,,,,,,
,29,84.9 ,86.9 ,88.9 ,91.2 ,93.4 ,95.5 ,97.5 ,,,,,,,,
,30,85.5 ,87.6 ,89.6 ,91.9 ,94.2 ,96.3 ,98.3 ,,,,,,,,
,31,86.2 ,88.2 ,90.3 ,92.7 ,95.0 ,97.1 ,99.2 ,,,,,,,,
,32,86.8 ,88.9 ,91.0 ,93.4 ,95.7 ,97.9 ,100.0 ,,,,,,,,
,33,87.4 ,89.5 ,91.7 ,94.1 ,96.5 ,98.6 ,100.8 ,,,,,,,,
,34,88.0 ,90.1 ,92.3 ,94.8 ,97.2 ,99.4 ,101.5 ,,,,,,,,
,35,88.5 ,90.7 ,93.0 ,95.4 ,97.9 ,100.1 ,102.3 ,,,,,,,,
,36,89.1 ,91.3 ,93.6 ,96.1 ,98.6 ,100.8 ,103.1 ,,,,,,,,
,37,89.7 ,91.9 ,94.2 ,96.7 ,99.3 ,101.5 ,103.8 ,,,,,,,,
,38,90.2 ,92.5 ,94.8 ,97.4 ,99.9 ,102.2 ,104.5 ,,,,,,,,
,39,90.8 ,93.1 ,95.4 ,98.0 ,100.6 ,102.9 ,105.2 ,,,,,,,,
,40,91.3 ,93.7 ,96.0 ,98.6 ,101.3 ,103.6 ,105.9 ,,,,,,,,
,41,91.9 ,94.2 ,96.6 ,99.2 ,101.9 ,104.3 ,106.6 ,,,,,,,,
,42,92.4 ,94.8 ,97.2 ,99.9 ,102.5 ,104.9 ,107.3 ,,,,,,,,
,43,92.9 ,95.3 ,97.7 ,100.4 ,103.1 ,105.6 ,108.0 ,,,,,,,,
,44,93.4 ,95.9 ,98.3 ,101.0 ,103.8 ,106.2 ,108.6 ,,,,,,,,
,45,93.9 ,96.4 ,98.9 ,101.6 ,104.4 ,106.8 ,109.3 ,,,,,,,,
,46,94.4 ,96.9 ,99.4 ,102.2 ,105.0 ,107.5 ,109.9 ,,,,,,,,
,47,94.9 ,97.4 ,100.0 ,102.8 ,105.6 ,108.1 ,110.6 ,,,,,,,,
,48,95.4 ,98.0 ,100.5 ,103.3 ,106.2 ,108.7 ,111.2 ,,,,,,,,
,49,95.9 ,98.5 ,101.0 ,103.9 ,106.7 ,109.3 ,111.8 ,,,,,,,,
,50,96.4 ,99.0 ,101.6 ,104.4 ,107.3 ,109.9 ,112.5 ,,,,,,,,
,51,96.9 ,99.5 ,102.1 ,105.0 ,107.9 ,110.5 ,113.1 ,,,,,,,,
,52,97.4 ,100.0 ,102.6 ,105.6 ,108.5 ,111.1 ,113.7 ,,,,,,,,
,53,97.9 ,100.5 ,103.2 ,106.1 ,109.1 ,111.7 ,114.3 ,,,,,,,,
,54,98.4 ,101.0 ,103.7 ,106.7 ,109.6 ,112.3 ,115.0 ,,,,,,,,
,55,98.8 ,101.5 ,104.2 ,107.2 ,110.2 ,112.9 ,115.6 ,,,,,,,,
,56,99.3 ,102.0 ,104.7 ,107.8 ,110.8 ,113.5 ,116.2 ,,,,,,,,
,57,99.8 ,102.5 ,105.3 ,108.3 ,111.4 ,114.1 ,116.8 ,,,,,,,,
,58,100.3 ,103.0 ,105.8 ,108.9 ,111.9 ,114.7 ,117.4 ,,,,,,,,
,59,100.8 ,103.5 ,106.3 ,109.4 ,112.5 ,115.3 ,118.1 ,,,,,,,,
,60,101.2 ,104.0 ,106.8 ,110.0 ,113.1 ,115.9 ,118.7 ,,,,,,,,
,61,101.6 ,104.4 ,107.2 ,110.3 ,113.4 ,116.1 ,118.9 ,,,,,,,,
,62,102.1 ,104.9 ,107.7 ,110.8 ,113.9 ,116.7 ,119.5 ,,,,,,,,
,63,102.6 ,105.4 ,108.2 ,111.3 ,114.5 ,117.3 ,120.1 ,,,,,,,,
,64,103.1 ,105.9 ,108.7 ,111.9 ,115.0 ,117.9 ,120.7 ,,,,,,,,
,65,103.5 ,106.4 ,109.2 ,112.4 ,115.6 ,118.4 ,121.3 ,,,,,,,,
,66,104.0 ,106.8 ,109.7 ,112.9 ,116.1 ,119.0 ,121.8 ,,,,,,,,
,67,104.4 ,107.3 ,110.2 ,113.4 ,116.7 ,119.5 ,122.4 ,,,,,,,,
,68,104.9 ,107.8 ,110.7 ,113.9 ,117.2 ,120.1 ,123.0 ,,,,,,,,
,69,105.4 ,108.3 ,111.2 ,114.5 ,117.7 ,120.6 ,123.5 ,,,,,,,,
,70,105.8 ,108.7 ,111.7 ,115.0 ,118.2 ,121.2 ,124.1 ,,,,,,,,
,71,106.2 ,109.2 ,112.2 ,115.5 ,118.8 ,121.7 ,124.7 ,,,,,,,,
,72,106.7 ,109.6 ,112.6 ,116.0 ,119.3 ,122.3 ,125.2 ,,,,,,,,
,73,107.1 ,110.1 ,113.1 ,116.4 ,119.8 ,122.8 ,125.8 ,,,,,,,,
,74,107.6 ,110.6 ,113.6 ,116.9 ,120.3 ,123.3 ,126.3 ,,,,,,,,
,75,108.0 ,111.0 ,114.0 ,117.4 ,120.8 ,123.8 ,126.9 ,,,,,,,,
,76,108.4 ,111.4 ,114.5 ,117.9 ,121.3 ,124.4 ,127.4 ,,,,,,,,
,77,108.8 ,111.9 ,115.0 ,118.4 ,121.8 ,124.9 ,127.9 ,,,,,,,,
,78,109.3 ,112.3 ,115.4 ,118.9 ,122.3 ,125.4 ,128.5 ,,,,,,,,
,79,109.7 ,112.8 ,115.9 ,119.4 ,122.8 ,125.9 ,129.0 ,,,,,,,,
,80,110.1 ,113.2 ,116.3 ,119.8 ,123.3 ,126.4 ,129.5 ,,,,,,,,
,81,110.5 ,113.7 ,116.8 ,120.3 ,123.8 ,127.0 ,130.1 ,,,,,,,,
,82,111.0 ,114.1 ,117.3 ,120.8 ,124.3 ,127.5 ,130.6 ,,,,,,,,
,83,111.4 ,114.5 ,117.7 ,121.3 ,124.8 ,128.0 ,131.1 ,,,,,,,,
,84,111.8 ,115.0 ,118.2 ,121.7 ,125.3 ,128.5 ,131.7 ,,,,,,,,
,85,112.3 ,115.4 ,118.6 ,122.1 ,125.7 ,128.9 ,132.1 ,,,,,,,,
,86,112.7 ,115.8 ,119.0 ,122.5 ,126.0 ,129.3 ,132.6 ,,,,,,,,
,87,113.2 ,116.2 ,119.4 ,122.9 ,126.4 ,129.7 ,133.0 ,,,,,,,,
,88,113.6 ,116.7 ,119.7 ,123.2 ,126.8 ,130.1 ,133.4 ,,,,,,,,
,89,114.1 ,117.1 ,120.1 ,123.6 ,127.1 ,130.5 ,133.9 ,,,,,,,,
,90,114.5 ,117.5 ,120.5 ,124.0 ,127.5 ,130.9 ,134.3 ,,,,,,,,
,91,114.9 ,117.9 ,121.0 ,124.5 ,128.0 ,131.4 ,134.8 ,,,,,,,,
,92,115.3 ,118.3 ,121.4 ,124.9 ,128.4 ,131.9 ,135.3 ,,,,,,,,
,93,115.8 ,118.8 ,121.9 ,125.4 ,128.9 ,132.4 ,135.8 ,,,,,,,,
,94,116.2 ,119.2 ,122.4 ,125.9 ,129.4 ,132.8 ,136.2 ,,,,,,,,
,95,116.6 ,119.6 ,122.8 ,126.3 ,129.8 ,133.3 ,136.7 ,,,,,,,,
,96,117.0 ,120.0 ,123.3 ,126.8 ,130.3 ,133.8 ,137.2 ,,,,,,,,
,97,117.4 ,120.4 ,123.8 ,127.3 ,130.8 ,134.3 ,137.7 ,,,,,,,,
,98,117.8 ,120.8 ,124.2 ,127.7 ,131.2 ,134.8 ,138.1 ,,,,,,,,
,99,118.3 ,121.3 ,124.7 ,128.2 ,131.7 ,135.3 ,138.6 ,,,,,,,,
,100,118.7 ,121.7 ,125.1 ,128.6 ,132.1 ,135.7 ,139.1 ,,,,,,,,
,101,119.1 ,122.1 ,125.6 ,129.1 ,132.6 ,136.2 ,139.5 ,,,,,,,,
,102,119.5 ,122.5 ,126.0 ,129.5 ,133.0 ,136.7 ,140.0 ,,,,,,,,
,103,119.9 ,122.9 ,126.3 ,129.9 ,133.4 ,137.1 ,140.4 ,,,,,,,,
,104,120.3 ,123.2 ,126.7 ,130.3 ,133.8 ,137.5 ,140.8 ,,,,,,,,
,105,120.7 ,123.6 ,127.0 ,130.7 ,134.3 ,137.9 ,141.3 ,,,,,,,,
,106,121.0 ,124.0 ,127.3 ,131.0 ,134.7 ,138.3 ,141.7 ,,,,,,,,
,107,121.4 ,124.3 ,127.7 ,131.4 ,135.1 ,138.7 ,142.1 ,,,,,,,,
,108,121.8 ,124.7 ,128.0 ,131.8 ,135.5 ,139.1 ,142.5 ,,,,,,,,
,109,122.2 ,125.1 ,128.3 ,132.2 ,135.9 ,139.5 ,142.9 ,,,,,,,,
,110,122.5 ,125.5 ,128.7 ,132.5 ,136.3 ,139.9 ,143.3 ,,,,,,,,
,111,122.9 ,125.9 ,129.0 ,132.9 ,136.8 ,140.3 ,143.8 ,,,,,,,,
,112,123.3 ,126.2 ,129.3 ,133.3 ,137.2 ,140.7 ,144.2 ,,,,,,,,
,113,123.6 ,126.6 ,129.7 ,133.6 ,137.6 ,141.1 ,144.6 ,,,,,,,,
,114,124.0 ,127.0 ,130.0 ,134.0 ,138.0 ,141.5 ,145.0 ,,,,,,,,
,115,124.3 ,127.4 ,130.4 ,134.4 ,138.4 ,142.0 ,145.6 ,,,,,,,,
,116,124.7 ,127.7 ,130.8 ,134.8 ,138.8 ,142.4 ,146.1 ,,,,,,,,
,117,125.0 ,128.1 ,131.3 ,135.3 ,139.3 ,142.9 ,146.7 ,,,,,,,,
,118,125.3 ,128.5 ,131.7 ,135.7 ,139.7 ,143.3 ,147.2 ,,,,,,,,
,119,125.7 ,128.8 ,132.1 ,136.1 ,140.1 ,143.8 ,147.8 ,,,,,,,,
,120,126.0 ,129.2 ,132.5 ,136.5 ,140.5 ,144.2 ,148.3 ,,,,,,,,
