months,P3,P15,P25,P50,P75,P85,P97
0,2.4 ,2.8 ,2.9 ,3.2 ,3.6 ,3.7 ,4.2 
1,3.2 ,3.6 ,3.8 ,4.2 ,4.6 ,4.8 ,5.4 
2,4.0 ,4.5 ,4.7 ,5.1 ,5.6 ,5.9 ,6.5 
3,4.6 ,5.1 ,5.4 ,5.8 ,6.4 ,6.7 ,7.4 
4,5.1 ,5.6 ,5.9 ,6.4 ,7.0 ,7.3 ,8.1 
5,5.5 ,6.1 ,6.4 ,6.9 ,7.5 ,7.8 ,8.7 
6,5.8 ,6.4 ,6.7 ,7.3 ,7.9 ,8.3 ,9.2 
7,6.1 ,6.7 ,7.0 ,7.6 ,8.3 ,8.7 ,9.6 
8,6.3 ,7.0 ,7.3 ,7.9 ,8.6 ,9.0 ,10.0 
9,6.6 ,7.3 ,7.6 ,8.2 ,8.9 ,9.3 ,10.4 
10,6.8 ,7.5 ,7.8 ,8.5 ,9.2 ,9.6 ,10.7 
11,7.0 ,7.7 ,8.0 ,8.7 ,9.5 ,9.9 ,11.0 
12,7.1 ,7.9 ,8.2 ,8.9 ,9.7 ,10.2 ,11.3 
13,7.3 ,8.1 ,8.4 ,9.2 ,10.0 ,10.4 ,11.6 
14,7.5 ,8.3 ,8.6 ,9.4 ,10.2 ,10.7 ,11.9 
15,7.7 ,8.5 ,8.8 ,9.6 ,10.4 ,10.9 ,12.2 
16,7.8 ,8.7 ,9.0 ,9.8 ,10.7 ,11.2 ,12.5 
17,8.0 ,8.8 ,9.2 ,10.0 ,10.9 ,11.4 ,12.7 
18,8.2 ,9.0 ,9.4 ,10.2 ,11.1 ,11.6 ,13.0 
19,8.3 ,9.2 ,9.6 ,10.4 ,11.4 ,11.9 ,13.3 
20,8.5 ,9.4 ,9.8 ,10.6 ,11.6 ,12.1 ,13.5 
21,8.7 ,9.6 ,10.0 ,10.9 ,11.8 ,12.4 ,13.8 
22,8.8 ,9.8 ,10.2 ,11.1 ,12.0 ,12.6 ,14.1 
23,9.0 ,9.9 ,10.4 ,11.3 ,12.3 ,12.8 ,14.3 
24,9.2 ,10.1 ,10.6 ,11.5 ,12.5 ,13.1 ,14.6 
25,9.3 ,10.3 ,10.8 ,11.7 ,12.7 ,13.3 ,14.9 
26,9.5 ,10.5 ,10.9 ,11.9 ,12.9 ,13.6 ,15.2 
27,9.6 ,10.7 ,11.1 ,12.1 ,13.2 ,13.8 ,15.4 
28,9.8 ,10.8 ,11.3 ,12.3 ,13.4 ,14.0 ,15.7 
29,10.0 ,11.0 ,11.5 ,12.5 ,13.6 ,14.3 ,16.0 
30,10.1 ,11.2 ,11.7 ,12.7 ,13.8 ,14.5 ,16.2 
31,10.3 ,11.3 ,11.9 ,12.9 ,14.1 ,14.7 ,16.5 
32,10.4 ,11.5 ,12.0 ,13.1 ,14.3 ,15.0 ,16.8 
33,10.5 ,11.7 ,12.2 ,13.3 ,14.5 ,15.2 ,17.0 
34,10.7 ,11.8 ,12.4 ,13.5 ,14.7 ,15.4 ,17.3 
35,10.8 ,12.0 ,12.5 ,13.7 ,14.9 ,15.7 ,17.6 
36,11.0 ,12.1 ,12.7 ,13.9 ,15.1 ,15.9 ,17.8 
37,11.1 ,12.3 ,12.9 ,14.0 ,15.3 ,16.1 ,18.1 
38,11.2 ,12.5 ,13.0 ,14.2 ,15.6 ,16.3 ,18.4 
39,11.4 ,12.6 ,13.2 ,14.4 ,15.8 ,16.6 ,18.6 
40,11.5 ,12.8 ,13.4 ,14.6 ,16.0 ,16.8 ,18.9 
41,11.6 ,12.9 ,13.5 ,14.8 ,16.2 ,17.0 ,19.2 
42,11.8 ,13.1 ,13.7 ,15.0 ,16.4 ,17.3 ,19.5 
43,11.9 ,13.2 ,13.9 ,15.2 ,16.6 ,17.5 ,19.7 
44,12.0 ,13.4 ,14.0 ,15.3 ,16.8 ,17.7 ,20.0 
45,12.1 ,13.5 ,14.2 ,15.5 ,17.0 ,17.9 ,20.3 
46,12.3 ,13.7 ,14.3 ,15.7 ,17.3 ,18.2 ,20.6 
47,12.4 ,13.8 ,14.5 ,15.9 ,17.5 ,18.4 ,20.8 
48,12.5 ,14.0 ,14.7 ,16.1 ,17.7 ,18.6 ,21.1 
49,12.6 ,14.1 ,14.8 ,16.3 ,17.9 ,18.9 ,21.4 
50,12.8 ,14.3 ,15.0 ,16.4 ,18.1 ,19.1 ,21.7 
51,12.9 ,14.4 ,15.1 ,16.6 ,18.3 ,19.3 ,22.0 
52,13.0 ,14.5 ,15.3 ,16.8 ,18.5 ,19.6 ,22.2 
