months,P3,P15,P25,P50,P75,P85,P97
0,2.5 ,2.9 ,3.0 ,3.3 ,3.7 ,3.9 ,4.3 
1,3.4 ,3.9 ,4.1 ,4.5 ,4.9 ,5.1 ,5.7 
2,4.4 ,4.9 ,5.1 ,5.6 ,6.0 ,6.3 ,7.0 
3,5.1 ,5.6 ,5.9 ,6.4 ,6.9 ,7.2 ,7.9 
4,5.6 ,6.2 ,6.5 ,7.0 ,7.6 ,7.9 ,8.6 
5,6.1 ,6.7 ,7.0 ,7.5 ,8.1 ,8.4 ,9.2 
6,6.4 ,7.1 ,7.4 ,7.9 ,8.5 ,8.9 ,9.7 
7,6.7 ,7.4 ,7.7 ,8.3 ,8.9 ,9.3 ,10.2 
8,7.0 ,7.7 ,8.0 ,8.6 ,9.3 ,9.6 ,10.5 
9,7.2 ,7.9 ,8.3 ,8.9 ,9.6 ,10.0 ,10.9 
10,7.5 ,8.2 ,8.5 ,9.2 ,9.9 ,10.3 ,11.2 
11,7.7 ,8.4 ,8.7 ,9.4 ,10.1 ,10.5 ,11.5 
12,7.8 ,8.6 ,9.0 ,9.6 ,10.4 ,10.8 ,11.8 
13,8.0 ,8.8 ,9.2 ,9.9 ,10.6 ,11.1 ,12.1 
14,8.2 ,9.0 ,9.4 ,10.1 ,10.9 ,11.3 ,12.4 
15,8.4 ,9.2 ,9.6 ,10.3 ,11.1 ,11.6 ,12.7 
16,8.5 ,9.4 ,9.8 ,10.5 ,11.3 ,11.8 ,12.9 
17,8.7 ,9.6 ,10.0 ,10.7 ,11.5 ,12.0 ,13.2 
18,8.9 ,9.7 ,10.1 ,10.9 ,11.8 ,12.3 ,13.5 
19,9.0 ,9.9 ,10.3 ,11.1 ,12.0 ,12.5 ,13.7 
20,9.2 ,10.1 ,10.5 ,11.3 ,12.2 ,12.7 ,14.0 
21,9.3 ,10.3 ,10.7 ,11.5 ,12.5 ,13.0 ,14.3 
22,9.5 ,10.5 ,10.9 ,11.8 ,12.7 ,13.2 ,14.5 
23,9.7 ,10.6 ,11.1 ,12.0 ,12.9 ,13.4 ,14.8 
24,9.8 ,10.8 ,11.3 ,12.2 ,13.1 ,13.7 ,15.1 
25,10.0 ,11.0 ,11.4 ,12.4 ,13.3 ,13.9 ,15.3 
26,10.1 ,11.1 ,11.6 ,12.5 ,13.6 ,14.1 ,15.6 
27,10.2 ,11.3 ,11.8 ,12.7 ,13.8 ,14.4 ,15.9 
28,10.4 ,11.5 ,12.0 ,12.9 ,14.0 ,14.6 ,16.2 
29,10.5 ,11.6 ,12.1 ,13.1 ,14.2 ,14.8 ,16.4 
30,10.7 ,11.8 ,12.3 ,13.3 ,14.4 ,15.0 ,16.6 
31,10.8 ,11.9 ,12.4 ,13.5 ,14.6 ,15.2 ,16.9 
32,10.9 ,12.1 ,12.6 ,13.7 ,14.8 ,15.5 ,17.1 
33,11.1 ,12.2 ,12.8 ,13.8 ,15.0 ,15.7 ,17.3 
34,11.2 ,12.4 ,12.9 ,14.0 ,15.2 ,15.9 ,17.6 
35,11.3 ,12.5 ,13.1 ,14.2 ,15.4 ,16.1 ,17.8 
36,11.4 ,12.7 ,13.2 ,14.3 ,15.6 ,16.3 ,18.0 
37,11.6 ,12.8 ,13.4 ,14.5 ,15.8 ,16.5 ,18.3 
38,11.7 ,12.9 ,13.5 ,14.7 ,15.9 ,16.7 ,18.5 
39,11.8 ,13.1 ,13.7 ,14.8 ,16.1 ,16.9 ,18.7 
40,11.9 ,13.2 ,13.8 ,15.0 ,16.3 ,17.1 ,19.0 
41,12.1 ,13.4 ,14.0 ,15.2 ,16.5 ,17.3 ,19.2 
42,12.2 ,13.5 ,14.1 ,15.3 ,16.7 ,17.5 ,19.4 
43,12.3 ,13.6 ,14.3 ,15.5 ,16.9 ,17.7 ,19.7 
44,12.4 ,13.8 ,14.4 ,15.7 ,17.1 ,17.9 ,19.9 
45,12.5 ,13.9 ,14.6 ,15.8 ,17.3 ,18.1 ,20.1 
46,12.7 ,14.1 ,14.7 ,16.0 ,17.4 ,18.3 ,20.4 
47,12.8 ,14.2 ,14.9 ,16.2 ,17.6 ,18.5 ,20.6 
48,12.9 ,14.3 ,15.0 ,16.3 ,17.8 ,18.7 ,20.9 
49,13.0 ,14.5 ,15.2 ,16.5 ,18.0 ,18.9 ,21.1 
50,13.1 ,14.6 ,15.3 ,16.7 ,18.2 ,19.1 ,21.3 
51,13.3 ,14.7 ,15.4 ,16.8 ,18.4 ,19.3 ,21.6 
52,13.4 ,14.9 ,15.6 ,17.0 ,18.6 ,19.5 ,21.8 
53,13.5 ,15.0 ,15.7 ,17.2 ,18.8 ,19.7 ,22.1 
54,13.6 ,15.2 ,15.9 ,17.3 ,19.0 ,19.9 ,22.3 
55,13.7 ,15.3 ,16.0 ,17.5 ,19.2 ,20.1 ,22.5 
56,13.8 ,15.4 ,16.2 ,17.7 ,19.3 ,20.3 ,22.8 
57,13.9 ,15.6 ,16.3 ,17.8 ,19.5 ,20.5 ,23.0 
58,14.1 ,15.7 ,16.5 ,18.0 ,19.7 ,20.7 ,23.3 
59,14.2 ,15.8 ,16.6 ,18.2 ,19.9 ,20.9 ,23.5 
60,14.3 ,16.0 ,16.7 ,18.3 ,20.1 ,21.1 ,23.8 
61,14.5 ,16.2 ,16.9 ,18.5 ,20.4 ,21.4 ,24.3 
62,14.6 ,16.4 ,17.1 ,18.8 ,20.6 ,21.7 ,24.7 
63,14.8 ,16.6 ,17.3 ,19.0 ,20.9 ,22.0 ,25.2 
64,15.0 ,16.7 ,17.5 ,19.2 ,21.1 ,22.3 ,25.6 
65,15.1 ,16.9 ,17.7 ,19.4 ,21.4 ,22.6 ,26.1 
66,15.3 ,17.1 ,17.9 ,19.6 ,21.6 ,22.9 ,26.5 
67,15.5 ,17.3 ,18.1 ,19.8 ,21.9 ,23.2 ,27.0 
68,15.6 ,17.5 ,18.3 ,20.0 ,22.1 ,23.5 ,27.4 
69,15.8 ,17.7 ,18.5 ,20.3 ,22.4 ,23.8 ,27.9 
70,16.0 ,17.8 ,18.6 ,20.5 ,22.7 ,24.1 ,28.3 
71,16.1 ,18.0 ,18.8 ,20.7 ,22.9 ,24.4 ,28.8 
72,16.3 ,18.2 ,19.0 ,20.9 ,23.2 ,24.7 ,29.2 
73,16.5 ,18.4 ,19.2 ,21.1 ,23.5 ,25.0 ,29.6 
74,16.7 ,18.6 ,19.4 ,21.4 ,23.7 ,25.3 ,30.1 
75,16.9 ,18.8 ,19.6 ,21.6 ,24.0 ,25.6 ,30.5 
76,17.0 ,18.9 ,19.8 ,21.8 ,24.2 ,25.8 ,30.9 
77,17.2 ,19.1 ,20.0 ,22.1 ,24.5 ,26.1 ,31.4 
78,17.4 ,19.3 ,20.2 ,22.3 ,24.7 ,26.4 ,31.8 
79,17.6 ,19.5 ,20.4 ,22.5 ,25.0 ,26.7 ,32.3 
80,17.7 ,19.7 ,20.6 ,22.7 ,25.2 ,27.0 ,32.7 
81,17.9 ,19.9 ,20.8 ,23.0 ,25.5 ,27.3 ,33.2 
82,18.1 ,20.0 ,20.9 ,23.2 ,25.8 ,27.6 ,33.6 
83,18.2 ,20.2 ,21.1 ,23.4 ,26.0 ,27.9 ,34.1 
84,18.4 ,20.4 ,21.3 ,23.6 ,26.3 ,28.2 ,34.5 
85,18.6 ,20.6 ,21.5 ,23.8 ,26.6 ,28.5 ,34.9 
86,18.7 ,20.8 ,21.7 ,24.0 ,26.8 ,28.8 ,35.3 
87,18.9 ,21.0 ,21.9 ,24.3 ,27.1 ,29.1 ,35.7 
88,19.1 ,21.1 ,22.1 ,24.5 ,27.3 ,29.4 ,36.0 
89,19.2 ,21.3 ,22.3 ,24.7 ,27.6 ,29.7 ,36.4 
90,19.4 ,21.5 ,22.5 ,24.9 ,27.8 ,30.0 ,36.8 
91,19.6 ,21.7 ,22.7 ,25.1 ,28.1 ,30.3 ,37.2 
92,19.7 ,21.9 ,22.9 ,25.4 ,28.4 ,30.7 ,37.5 
93,19.9 ,22.1 ,23.2 ,25.6 ,28.7 ,31.0 ,37.9 
94,20.0 ,22.3 ,23.4 ,25.8 ,28.9 ,31.3 ,38.3 
95,20.2 ,22.5 ,23.6 ,26.1 ,29.2 ,31.7 ,38.6 
96,20.3 ,22.7 ,23.8 ,26.3 ,29.5 ,32.0 ,39.0 
97,20.5 ,22.9 ,24.0 ,26.5 ,29.8 ,32.3 ,39.4 
98,20.6 ,23.1 ,24.2 ,26.7 ,30.0 ,32.6 ,39.7 
99,20.8 ,23.3 ,24.4 ,27.0 ,30.3 ,33.0 ,40.1 
100,20.9 ,23.4 ,24.6 ,27.2 ,30.5 ,33.3 ,40.5 
101,21.1 ,23.6 ,24.8 ,27.4 ,30.8 ,33.6 ,40.8 
102,21.2 ,23.8 ,25.0 ,27.6 ,31.0 ,33.9 ,41.2 
103,21.4 ,24.0 ,25.2 ,27.8 ,31.3 ,34.2 ,41.6 
104,21.5 ,24.1 ,25.3 ,28.0 ,31.6 ,34.5 ,41.9 
105,21.7 ,24.3 ,25.5 ,28.2 ,31.9 ,34.8 ,42.3 
106,21.8 ,24.5 ,25.7 ,28.4 ,32.1 ,35.1 ,42.7 
107,22.0 ,24.6 ,25.8 ,28.6 ,32.4 ,35.4 ,43.0 
108,22.1 ,24.8 ,26.0 ,28.8 ,32.7 ,35.7 ,43.4 
109,22.3 ,25.0 ,26.2 ,29.0 ,33.0 ,36.0 ,43.8 
110,22.4 ,25.1 ,26.3 ,29.2 ,33.2 ,36.3 ,44.1 
111,22.6 ,25.3 ,26.5 ,29.4 ,33.5 ,36.6 ,44.5 
112,22.7 ,25.5 ,26.7 ,29.6 ,33.8 ,36.9 ,44.9 
113,22.9 ,25.6 ,26.8 ,29.8 ,34.0 ,37.2 ,45.2 
114,23.0 ,25.8 ,27.0 ,30.0 ,34.3 ,37.5 ,45.6 
115,23.2 ,26.0 ,27.2 ,30.3 ,34.6 ,37.8 ,46.1 
116,23.3 ,26.2 ,27.5 ,30.5 ,34.9 ,38.1 ,46.6 
117,23.5 ,26.4 ,27.7 ,30.8 ,35.2 ,38.5 ,47.1 
118,23.7 ,26.5 ,27.9 ,31.0 ,35.4 ,38.8 ,47.6 
119,23.8 ,26.7 ,28.2 ,31.3 ,35.7 ,39.1 ,48.1 
120,24.0 ,26.9 ,28.4 ,31.5 ,36.0 ,39.4 ,48.6 
121,24.2 ,27.1 ,28.6 ,31.8 ,36.3 ,39.8 ,49.1 
122,24.3 ,27.3 ,28.9 ,32.0 ,36.7 ,40.2 ,49.6 
123,24.5 ,27.5 ,29.1 ,32.3 ,37.0 ,40.6 ,50.1 
124,24.7 ,27.6 ,29.3 ,32.5 ,37.3 ,41.0 ,50.6 
125,24.8 ,27.8 ,29.6 ,32.8 ,37.7 ,41.4 ,51.1 
126,25.0 ,28.0 ,29.8 ,33.0 ,38.0 ,41.8 ,51.6 
127,25.2 ,28.3 ,30.1 ,33.4 ,38.5 ,42.3 ,52.1 
128,25.4 ,28.5 ,30.3 ,33.8 ,38.9 ,42.8 ,52.7 
129,25.7 ,28.8 ,30.6 ,34.2 ,39.4 ,43.3 ,53.2 
130,25.9 ,29.1 ,30.9 ,34.5 ,39.9 ,43.7 ,53.7 
131,26.1 ,29.3 ,31.1 ,34.9 ,40.3 ,44.2 ,54.3 
132,26.3 ,29.6 ,31.4 ,35.3 ,40.8 ,44.7 ,54.8 
133,26.5 ,29.9 ,31.7 ,35.7 ,41.3 ,45.2 ,55.3 
134,26.7 ,30.1 ,31.9 ,36.1 ,41.7 ,45.6 ,55.9 
